id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
2862,5308654,https://github.com/qiniu/android-sdk,489,765,3203,194,45,NULL,NULL
2863,941687,https://github.com/subgraph/Vega,235,1422,37571,54,1,NULL,NULL
2864,1581656,https://github.com/arquillian/arquillian-core,261,900,4971,143,40,NULL,NULL
2865,1638055,https://github.com/bmeike/ProgrammingAndroidExamples,217,111,3964,107,1,NULL,NULL
2866,2192780,https://github.com/jOOQ/jOOX,376,217,663,31,6,NULL,NULL
2867,466142,https://github.com/wwadge/bonecp,499,579,3833,158,25,NULL,NULL
2868,2768092,https://github.com/matshofman/Android-RSS-Reader-Library,285,11,193,96,0,NULL,NULL
2869,4506854,https://github.com/intrications/intent-intercept,242,138,4771,76,4,NULL,NULL
2870,2155701,https://github.com/roman10/roman10-android-tutorial,308,82,11871,265,0,NULL,NULL
2871,4732208,https://github.com/appfuse/appfuse,397,4147,139810,232,35,NULL,NULL
2872,3410563,https://github.com/dadoonet/spring-elasticsearch,246,251,582,107,15,NULL,NULL
2874,4215548,https://github.com/inovex/ViewPager3D,205,36,2060,125,0,NULL,NULL
2875,468218,https://github.com/EddieRingle/hubroid,312,771,12319,45,15,NULL,NULL
2876,386546,https://github.com/commonsguy/cw-andtutorials,225,16,2031,142,8,NULL,NULL
2877,2495672,https://github.com/commonsguy/cwac-loaderex,312,46,5873,95,10,NULL,NULL
2878,2839529,https://github.com/astuetz/ViewPagerExtensions,261,9,816,94,0,NULL,NULL
2879,3362935,https://github.com/rtyley/android-screenshot-lib,279,38,229,78,10,NULL,NULL
2880,4338484,https://github.com/lordofthejars/nosql-unit,339,426,1728,100,33,NULL,NULL
2882,4938085,https://github.com/ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework,268,13,434,192,0,NULL,NULL
2883,1511013,https://github.com/wg/lettuce,211,48,1802,53,11,NULL,NULL
2885,18891563,https://github.com/Androxyde/Flashtool,250,466,437232,209,1,NULL,NULL
2886,1707059,https://github.com/stoicflame/enunciate,381,2275,28053,168,28,NULL,NULL
2887,3816238,https://github.com/buchen/portfolio,309,2275,21499,103,105,NULL,NULL
2888,4390276,https://github.com/sveinungkb/encrypted-userprefs,236,7,114,74,0,NULL,NULL
2889,2176646,https://github.com/stripe/stripe-java,341,1180,2623,202,206,NULL,NULL
2891,520534,https://github.com/telecapoland/jamendo-android,435,150,3551,277,9,NULL,NULL
2892,3341519,https://github.com/MiCode/legacy-patchrom,202,5,740735,76,0,NULL,NULL
2893,186007,https://github.com/orfjackal/tdd-tetris-tutorial,280,283,836,118,22,NULL,NULL
2894,1904,https://github.com/dustin/java-memcached-client,465,978,5340,342,93,NULL,NULL
2896,909024,https://github.com/xetorthio/johm,273,69,877,90,0,NULL,NULL
2897,1897842,https://github.com/intel-hadoop/HiTune,244,2,161295,97,0,NULL,NULL
2898,687316,https://github.com/Cathedrow/Cryptosuite,263,8,190,105,0,NULL,NULL
2899,4150274,https://github.com/freshplanet/ANE-Push-Notification,209,198,19903,109,4,NULL,NULL
2900,2946478,https://github.com/laforge49/JActor,289,999,8118,74,37,NULL,NULL
2901,2327479,https://github.com/fanfoudroid/fanfoudroid,381,580,6862,198,11,NULL,NULL
2903,146053,https://github.com/tonyg/reversehttp,210,65,477,19,0,NULL,NULL
2904,2478624,https://github.com/redline-smalltalk/redline-smalltalk,268,1473,12961,44,2,NULL,NULL
2905,3555504,https://github.com/ubergeek42/weechat-android,344,881,6516,84,10,NULL,NULL
2906,1635932,https://github.com/lessthanoptimal/BoofCV,439,2961,28068,167,31,NULL,NULL
2907,2910598,https://github.com/NightWhistler/PageTurner,422,1262,9617,219,48,NULL,NULL
2908,3250009,https://github.com/mjiderhamn/classloader-leak-prevention,241,349,768,61,47,NULL,NULL
2909,2161754,https://github.com/jsevellec/cassandra-unit,363,453,834,169,34,NULL,NULL
2910,2073668,https://github.com/spullara/redis-protocol,294,307,1059,122,7,NULL,NULL
2911,587611,https://github.com/leebyron/streamgraph,266,3,2691,41,0,NULL,NULL
2912,9199359,https://github.com/biojava/biojava,249,5758,46844,215,57,NULL,NULL
